sample_name,life_stage_age,simple_biosample_summary,target,input
Lpt_ENCSR303EBD_rep1,NA,mixed sex prepupa strain Lpt-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Lpt  at white prepupa stage,Lpt,input_ENCSR139RMN_rep1
Lpt_ENCSR303EBD_rep2,NA,mixed sex prepupa strain Lpt-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Lpt  at white prepupa stage,Lpt,input_ENCSR139RMN_rep1
Lpt_ENCSR303EBD_rep3,NA,mixed sex prepupa strain Lpt-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Lpt  at white prepupa stage,Lpt,input_ENCSR139RMN_rep1
usp_ENCSR303MJE_rep1,embryonic 0-12 hours,embryo (0-12 hours) strain usp-GFP VK00033 stably expressing C-terminal eGFP-tagged usp,usp,input_ENCSR396VOB_rep1
usp_ENCSR303MJE_rep2,embryonic 0-12 hours,embryo (0-12 hours) strain usp-GFP VK00033 stably expressing C-terminal eGFP-tagged usp,usp,input_ENCSR396VOB_rep1
lov_ENCSR304JBT_rep1,embryonic 0-24 hours,embryo (0-24 hours) strain lov-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster lov,lov,input_ENCSR634KMJ_rep1
lov_ENCSR304JBT_rep2,embryonic 0-24 hours,embryo (0-24 hours) strain lov-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster lov,lov,input_ENCSR634KMJ_rep1
lov_ENCSR304JBT_rep3,embryonic 0-24 hours,embryo (0-24 hours) strain lov-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster lov,lov,input_ENCSR634KMJ_rep1
tgo_ENCSR306TVS_rep1,embryonic 0-24 hours,embryo (0-24 hours) strain tgo-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster tgo,tgo,input_ENCSR400MGD_rep1
tgo_ENCSR306TVS_rep2,embryonic 0-24 hours,embryo (0-24 hours) strain tgo-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster tgo,tgo,input_ENCSR400MGD_rep1
tgo_ENCSR306TVS_rep3,embryonic 0-24 hours,embryo (0-24 hours) strain tgo-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster tgo,tgo,input_ENCSR400MGD_rep1
