run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	library_layout	library_selection	fastq_md5	fastq_ftp	submitted_ftp	sample_alias	sample_title
SRR030270	SAMN00005153	SRX013004	PRJNA63463	7227	Drosophila melanogaster	E0-4_INPUT	SINGLE	ChIP	f88c258d77cb02e5010602ff99338bf6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030270/SRR030270.fastq.gz		GSM400657	E0-4_INPUT
SRR030271	SAMN00005154	SRX013005	PRJNA63463	7227	Drosophila melanogaster	E16-20_H3K4Me3_ChIPSeq_1	SINGLE	ChIP	a4621acda2ddf3f5bfeae83b142da5be	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030271/SRR030271.fastq.gz		GSM400658	E16-20_H3K4Me3_ChIPSeq_1
SRR030273	SAMN00005156	SRX013007	PRJNA63463	7227	Drosophila melanogaster	L3_H3K4Me3_ChIPSeq_1	SINGLE	ChIP	26e6fb84784ba498007aabcfc8773483	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030273/SRR030273.fastq.gz		GSM400660	L3_H3K4Me3_ChIPSeq_1
SRR030275	SAMN00005158	SRX013009	PRJNA63463	7227	Drosophila melanogaster	L1_H3K4Me3_ChIPSeq_1	SINGLE	ChIP	64504b1a41010e976bbe8185d0baedec	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030275/SRR030275.fastq.gz		GSM400662	L1_H3K4Me3_ChIPSeq_1
SRR030277	SAMN00005160	SRX013011	PRJNA63463	7227	Drosophila melanogaster	Pupae_H3K4Me3_ChIPSeq_1	SINGLE	ChIP	14fca81810ae0048dc693b04ad1aa976	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030277/SRR030277.fastq.gz		GSM400664	Pupae_H3K4Me3_ChIPSeq_1
SRR030278	SAMN00005161	SRX013012	PRJNA63463	7227	Drosophila melanogaster	Pupae_INPUT	SINGLE	ChIP	8536ae9ddb8351add27cc083b4af6938	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030278/SRR030278.fastq.gz		GSM400665	Pupae_INPUT
SRR030288	SAMN00005171	SRX013022	PRJNA63463	7227	Drosophila melanogaster	E4-8_INPUT	SINGLE	ChIP	6994d5cfd73b5df4568aac2caae094ee	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030288/SRR030288.fastq.gz		GSM400675	E4-8_INPUT
SRR030290	SAMN00005173	SRX013024	PRJNA63463	7227	Drosophila melanogaster	E16-20_H3K9Ac_ChIPSeq_1	SINGLE	ChIP	019652f43c41c0738bb9683a984a568c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030290/SRR030290.fastq.gz		GSM401402	E16-20_H3K9Ac_ChIPSeq_1
SRR030293	SAMN00005176	SRX013027	PRJNA63463	7227	Drosophila melanogaster	E4-8_H3K9Ac_ChIPSeq_1	SINGLE	ChIP	51e5fc6cc8b6c4c0d7d9f93ad86874ff	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030293/SRR030293.fastq.gz		GSM401405	E4-8_H3K9Ac_ChIPSeq_1
SRR030295	SAMN00005178	SRX013029	PRJNA63463	7227	Drosophila melanogaster	E0-4_H3K27Ac_ChIPSeq_1	SINGLE	ChIP	ffde53f88dfcbe1452e606144ff96c36	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030295/SRR030295.fastq.gz		GSM401407	E0-4_H3K27Ac_ChIPSeq_1
SRR030297	SAMN00005180	SRX013031	PRJNA63463	7227	Drosophila melanogaster	E0-4_H3K4Me1_ChIPSeq_1	SINGLE	ChIP	d050179e6b6c28d59a3735e34e750650	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030297/SRR030297.fastq.gz		GSM401409	E0-4_H3K4Me1_ChIPSeq_1
SRR030298	SAMN00005181	SRX013032	PRJNA63463	7227	Drosophila melanogaster	AdultMale_H3K27Ac_ChIPSeq_1	SINGLE	ChIP	82a888d2de21cac112647ee9f0b37316	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030298/SRR030298.fastq.gz		GSM401410	AdultMale_H3K27Ac_ChIPSeq_1
SRR030299	SAMN00005182	SRX013033	PRJNA63463	7227	Drosophila melanogaster	AdultMale_H3K4Me1_ChIPSeq_1	SINGLE	ChIP	d20c4edc3fce3594efbda21a6bc0e603	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030299/SRR030299.fastq.gz		GSM401411	AdultMale_H3K4Me1_ChIPSeq_1
SRR030301	SAMN00005184	SRX013035	PRJNA63463	7227	Drosophila melanogaster	Pupae_H3K27Ac_ChIPSeq_1	SINGLE	ChIP	bc6ad14fa9fcd0a302045674285e7711	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030301/SRR030301.fastq.gz		GSM401413	Pupae_H3K27Ac_ChIPSeq_1
SRR030305	SAMN00005188	SRX013039	PRJNA63463	7227	Drosophila melanogaster	L3_H3K9Ac_ChIPSeq_1	SINGLE	ChIP	1b3886bfa2b1dc3319c6aa71cbaae3c4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030305/SRR030305.fastq.gz		GSM401417	L3_H3K9Ac_ChIPSeq_1
SRR030306	SAMN00005189	SRX013040	PRJNA63463	7227	Drosophila melanogaster	L3_H3K4Me1_ChIPSeq_1	SINGLE	ChIP	acaca79a30c82d3038b568bd66f7ccca	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030306/SRR030306.fastq.gz		GSM401418	L3_H3K4Me1_ChIPSeq_1
SRR030308	SAMN00005191	SRX013042	PRJNA63463	7227	Drosophila melanogaster	L2_H3K9Ac_ChIPSeq_1	SINGLE	ChIP	3f00052d3405f386aafae2affe60c415	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030308/SRR030308.fastq.gz		GSM401420	L2_H3K9Ac_ChIPSeq_1
SRR030310	SAMN00005193	SRX013044	PRJNA63463	7227	Drosophila melanogaster	L1_H3K9Ac_ChIPSeq_1	SINGLE	ChIP	352a64029cc1b6cc8b12edc9b7f14c71	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030310/SRR030310.fastq.gz		GSM401422	L1_H3K9Ac_ChIPSeq_1
SRR030315	SAMN00005198	SRX013049	PRJNA63463	7227	Drosophila melanogaster	AdultMale_CBP_ChIPSeq_1	SINGLE	ChIP	33135e7efdba43be12b4aa790cf82df6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030315/SRR030315.fastq.gz		GSM408984	AdultMale_CBP_ChIPSeq_1
SRR030317	SAMN00005200	SRX013051	PRJNA63463	7227	Drosophila melanogaster	E12-16_CBP_ChIPSeq_1	SINGLE	ChIP	90ddbbef9093c7b2af9f689b6c414dce	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030317/SRR030317.fastq.gz		GSM408986	E12-16_CBP_ChIPSeq_1
SRR030319	SAMN00005202	SRX013053	PRJNA63463	7227	Drosophila melanogaster	E4-8_CBP_ChIPSeq_1	SINGLE	ChIP	2b6e3ee04fa251a83ddd1650944611ca	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030319/SRR030319.fastq.gz		GSM408988	E4-8_CBP_ChIPSeq_1
SRR030324	SAMN00005207	SRX013058	PRJNA63463	7227	Drosophila melanogaster	L3_INPUT_CBP	SINGLE	ChIP	1a41436c30ced4fa0171ccd6ebe6dac3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030324/SRR030324.fastq.gz		GSM408993	L3_INPUT_CBP
SRR030326	SAMN00005209	SRX013060	PRJNA63463	7227	Drosophila melanogaster	Pupae_INPUT_CBP	SINGLE	ChIP	40d2059e530356fa8cfa429a49ff9294	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030326/SRR030326.fastq.gz		GSM408995	Pupae_INPUT_CBP
SRR030339	SAMN00005222	SRX013073	PRJNA63463	7227	Drosophila melanogaster	E16-20_PolII_ChIPSeq_1	SINGLE	ChIP	e0993844d8fdb4beeaf41815f1cda9a7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030339/SRR030339.fastq.gz		GSM432590	E16-20_PolII_ChIPSeq_1
SRR030340	SAMN00005223	SRX013074	PRJNA63463	7227	Drosophila melanogaster	E12-16_H3K4Me1_ChIPSeq_1	SINGLE	ChIP	2f4db5fa5355027f3c94c99f8e184e7d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030340/SRR030340.fastq.gz		GSM432591	E12-16_H3K4Me1_ChIPSeq_1
SRR030345	SAMN00005228	SRX013079	PRJNA63463	7227	Drosophila melanogaster	E4-8_INPUT_PolII	SINGLE	ChIP	58145dcdb8c4e5925fcc3384410471d1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030345/SRR030345.fastq.gz		GSM432635	E4-8_INPUT_PolII
SRR030348	SAMN00005231	SRX013082	PRJNA63463	7227	Drosophila melanogaster	L3_INPUT_PolII	SINGLE	ChIP	ff1bdb228185bfc4a05e4d592e12ead1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030348/SRR030348.fastq.gz		GSM432638	L3_INPUT_PolII
SRR030349	SAMN00005232	SRX013083	PRJNA63463	7227	Drosophila melanogaster	Pupae_INPUT_PolII	SINGLE	ChIP	155d2fc7736ce6f723a412fab8cf5d05	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030349/SRR030349.fastq.gz		GSM432639	Pupae_INPUT_PolII
SRR030352	SAMN00005235	SRX013086	PRJNA63463	7227	Drosophila melanogaster	L3_H3K27Me3_ChIPSeq_1	SINGLE	ChIP	9959cc91f7781fa37a38bd57877d48c0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030352/SRR030352.fastq.gz		GSM439440	L3_H3K27Me3_ChIPSeq_1
SRR030353	SAMN00005236	SRX013087	PRJNA63463	7227	Drosophila melanogaster	L2_H3K27Me3_ChIPSeq_1	SINGLE	ChIP	e528dd3dc4aa1f111f7d5de2b90e2a43	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030353/SRR030353.fastq.gz		GSM439441	L2_H3K27Me3_ChIPSeq_1
SRR030354	SAMN00005237	SRX013088	PRJNA63463	7227	Drosophila melanogaster	L1_H3K27Me3_ChIPSeq_1	SINGLE	ChIP	5f05d2763634614e2d322d8682cbcb1f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030354/SRR030354.fastq.gz		GSM439442	L1_H3K27Me3_ChIPSeq_1
SRR030355	SAMN00005238	SRX013089	PRJNA63463	7227	Drosophila melanogaster	E20-24_H3K27Me3_ChIPSeq_1	SINGLE	ChIP	f587f2e4e114be1162b5590654737a6c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030355/SRR030355.fastq.gz		GSM439443	E20-24_H3K27Me3_ChIPSeq_1
SRR030360	SAMN00005243	SRX013094	PRJNA63463	7227	Drosophila melanogaster	E0-4_H3K27Me3_ChIPSeq_1	SINGLE	ChIP	8905e64685758fc6ae0d165dc2cdfdb1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030360/SRR030360.fastq.gz		GSM439448	E0-4_H3K27Me3_ChIPSeq_1
SRR030361	SAMN00005244	SRX013095	PRJNA63463	7227	Drosophila melanogaster	Pupae_H3K9Me3_ChIPSeq_1	SINGLE	ChIP	70134e9410b709f4a569e07ff3ca2eef	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030361/SRR030361.fastq.gz		GSM439449	Pupae_H3K9Me3_ChIPSeq_1
SRR030362	SAMN00005245	SRX013096	PRJNA63463	7227	Drosophila melanogaster	L2_H3K9Me3_ChIPSeq_1	SINGLE	ChIP	202a8f88fb4d370f7f1576c985e9b82b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030362/SRR030362.fastq.gz		GSM439450	L2_H3K9Me3_ChIPSeq_1
SRR030364	SAMN00005247	SRX013098	PRJNA63463	7227	Drosophila melanogaster	E20-24_H3K9Me3_ChIPSeq_1	SINGLE	ChIP	1687fc4e6c830b1ec061185337ed82de	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030364/SRR030364.fastq.gz		GSM439452	E20-24_H3K9Me3_ChIPSeq_1
SRR030368	SAMN00005251	SRX013102	PRJNA63463	7227	Drosophila melanogaster	E4-8_H3K9Me3_ChIPSeq_1	SINGLE	ChIP	a27ec356668b165b59f276c714990c75	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030368/SRR030368.fastq.gz		GSM439456	E4-8_H3K9Me3_ChIPSeq_1
SRR030369	SAMN00005252	SRX013103	PRJNA63463	7227	Drosophila melanogaster	E0-4_H3K9Me3_ChIPSeq_1	SINGLE	ChIP	9cbff77c5cfec64ecef6ff0c59eedbdb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030369/SRR030369.fastq.gz		GSM439457	E0-4_H3K9Me3_ChIPSeq_1
SRR030373	SAMN00005256	SRX013107	PRJNA63463	7227	Drosophila melanogaster	E12-16_PolII_ChIPSeq_1	SINGLE	ChIP	734539bda191d2e4b8f7e20256f2d6f4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030373/SRR030373.fastq.gz		GSM439461	E12-16_PolII_ChIPSeq_1
SRR030380	SAMN00005263	SRX013114	PRJNA63463	7227	Drosophila melanogaster	L2_INPUT (2)	SINGLE	ChIP	153be88587b0824ee8361d8929c7cd95	ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030380/SRR030380.fastq.gz		GSM451800	L2_INPUT_PolII
SRR034695	SAMN00008256	SRX016143	PRJNA63463	7227	Drosophila melanogaster	E0-12_HDAC-[492..501]_INPUT_1	SINGLE	ChIP	ab7cab9d9ac1269f5618cf58debe5262	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034695/SRR034695.fastq.gz		GSM499634	E0-12_HDAC-[492..501]_INPUT_1
SRR034696	SAMN00008257	SRX016144	PRJNA63463	7227	Drosophila melanogaster	E0-12_HDAC-493_ChIPSeq_1 and 2	SINGLE	ChIP	11936a7a2dfc146bf771a746cbe9311f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034696/SRR034696.fastq.gz		GSM499635	E0-12_HDAC-493_ChIPSeq_1 and 2
SRR034704	SAMN00008261	SRX016148	PRJNA63463	7227	Drosophila melanogaster	E0-12_HDAC-497_ChIPSeq_1 and 2	SINGLE	ChIP	79075a8867d199a6ef16435b1bed9fd0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034704/SRR034704.fastq.gz		GSM499639	E0-12_HDAC-497_ChIPSeq_1 and 2
